model,stage,layer,head,tokens,mean,p50,p90,p99,p99_9,max,mean_delta_vs_orig,mean_gain_pct_vs_orig,p50_delta_vs_orig,p50_gain_pct_vs_orig,p90_delta_vs_orig,p90_gain_pct_vs_orig,p99_delta_vs_orig,p99_gain_pct_vs_orig,p99_9_delta_vs_orig,p99_9_gain_pct_vs_orig,max_delta_vs_orig,max_gain_pct_vs_orig
fireq_rpn,post,3,1,20480,7.967233180999756,7.937603950500488,9.448802947998047,10.494316101074219,11.050122261047363,11.920769691467285,-0.14993047714233398,-1.9179310667904839,-0.061855316162109375,-0.7853896694013226,-0.06150531768798828,-0.655197268800742,-0.13175106048583984,-1.2714135927716128,-0.058844566345214844,-0.5353751217984258,-0.3872241973876953,-3.3573734771017776
orig,post,3,1,20480,7.817302703857422,7.875748634338379,9.387297630310059,10.362565040588379,10.991277694702148,11.53354549407959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,3,1,20480,5.861166954040527,5.8221964836120605,6.544439315795898,7.2379560470581055,7.840602397918701,8.170531272888184,1.9561357498168945,25.023154711044334,2.0535521507263184,26.074373955674524,2.84285831451416,30.284096941115756,3.1246089935302734,30.152852901687172,3.1506752967834473,28.66523241699269,3.3630142211914062,29.158546458395744
fireq_rpn,post,3,2,20480,14.890881538391113,14.975910186767578,16.595115661621094,17.56233024597168,18.085647583007812,18.594852447509766,-0.1251983642578125,-0.8479009252828645,-0.14780902862548828,-0.9968169696787276,-0.091796875,-0.5562328170889959,-0.16005516052246094,-0.9197369868971319,-0.19228172302246094,-1.0745978399315999,-0.17386627197265625,-0.9438488814651463
orig,post,3,2,20480,14.7656831741333,14.82810115814209,16.503318786621094,17.40227508544922,17.89336585998535,18.42098617553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,3,2,20480,5.859104156494141,5.818277359008789,6.696999549865723,7.419889450073242,7.9235382080078125,8.105541229248047,8.90657901763916,60.31945093635634,9.0098237991333,60.761817734066504,9.806319236755371,59.420286086366794,9.982385635375977,57.36253211927832,9.969827651977539,55.718011524443845,10.315444946289062,55.99833172877505
fireq_rpn,post,3,3,20480,9.105924606323242,9.078030586242676,11.13504409790039,12.90084171295166,14.264854431152344,15.365697860717773,-0.09185409545898438,-1.019007953712773,-0.09753894805908203,-1.0861203594284554,-0.12862777709960938,-1.1686617455721586,0.16483402252197266,1.2615805401816624,0.8561582565307617,5.6620431065979435,1.1083908081054688,6.7280857253310025
orig,post,3,3,20480,9.014070510864258,8.980491638183594,11.006416320800781,13.065675735473633,15.121012687683105,16.474088668823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,3,3,20480,5.381605625152588,5.319260597229004,6.276175498962402,7.229799747467041,7.909164905548096,8.24252700805664,3.63246488571167,40.297719896173675,3.66123104095459,40.768714993148365,4.730240821838379,42.977120653693625,5.835875988006592,44.66570352853656,7.21184778213501,47.69421156566753,8.231561660766602,49.96671941158484
fireq_rpn,post,3,4,20480,13.432594299316406,13.4345703125,14.492490768432617,15.353992462158203,15.838727951049805,16.62029266357422,-0.07795429229736328,-0.5837244003312063,-0.04982471466064453,-0.37224999381898993,-0.14607810974121094,-1.0182204653977611,-0.1495046615600586,-0.9832929824454664,0.10060405731201172,0.6311685913765681,-0.1947174072265625,-1.1854525895603811
orig,post,3,4,20480,13.354640007019043,13.384745597839355,14.346412658691406,15.204487800598145,15.939332008361816,16.425575256347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
