layer,head,pair,dim0,dim1,source,n_tokens_used,shape_label,orientation_label,r_mean,r_median,q99,q99_5,q99_9,r_max,ratio_max_q99,ratio_max_q99_5,ratio_max_q99_9,clip_tau,clip_reduction_frac,clip_fraction_at_tau,tail_label,shape_aware_action
5,2,59,118,119,raw_post,20480,isotropic_scatter,axis_like,3.1875461482492478,2.8695144323218362,8.52348060291151,9.212800425908194,10.797150792011067,14.541464013747088,1.7060476454630416,1.5783978097315179,1.346787156525264,10.797150792011067,0.2574921767296783,0.001025390625,mild_clip,mild_clip
13,6,44,88,89,raw_post,20480,isotropic_scatter,intermediate,1.6087591351633104,1.496146282825277,3.9910239139168726,4.33351291215655,4.976421051727223,6.702036647868083,1.6792774968092254,1.5465597504203235,1.3467583587088017,4.976421051727223,0.25747629963942065,0.001025390625,mild_clip,mild_clip
22,0,53,106,107,raw_post,20480,isotropic_scatter,axis_like,2.2698231189027727,2.1047861949930065,5.720771309692338,6.192852441950853,7.104749316464336,9.568294287102695,1.672553187171063,1.5450544602494227,1.3467462201557785,7.104749316464336,0.2574696070917283,0.001025390625,mild_clip,mild_clip
2,0,59,118,119,raw_post,20480,isotropic_scatter,axis_like,1.6118131092290917,1.5326416848620654,3.6507082269770232,3.8844110142152934,4.786583468317996,6.445413160713514,1.7655240462891366,1.6593025653377156,1.3465581877711263,4.786583468317996,0.2573659206994705,0.001025390625,mild_clip,mild_clip
18,5,47,94,95,raw_post,20480,isotropic_scatter,already_diagonal,2.0294829586640333,1.842335631100726,5.4961538305474145,5.993595456255352,6.987653314225404,9.40909967355438,1.7119425626806442,1.5698589840150723,1.3465321260857943,6.987653314225404,0.25735154726172127,0.001025390625,mild_clip,mild_clip
29,4,52,104,105,raw_post,20480,elongated,axis_like,1.6088414520159415,1.5223924744145638,4.006771094943454,4.277998734111957,4.932853730357234,6.640799062858975,1.6573941723897494,1.5523144057772837,1.346238795201019,4.932853730357234,0.2571897321896143,0.001025390625,mild_clip,mild_clip_check_rotation
20,3,32,64,65,raw_post,20480,isotropic_scatter,already_diagonal,1.1320190147416986,1.0463255340349638,2.886840872928017,3.2086286986188584,3.8613783987825037,5.198136946398693,1.8006316160843368,1.6200493839116412,1.346186881875568,3.8613783987825037,0.2571610870202843,0.001025390625,mild_clip,mild_clip
13,5,48,96,97,raw_post,20480,isotropic_scatter,already_diagonal,1.9879780753667327,1.8647850486693396,4.941930267285756,5.289607682789334,6.28625439409917,8.461958684496496,1.7122780425519917,1.5997327575027847,1.3461050339355711,6.28625439409917,0.25711591979094905,0.001025390625,mild_clip,mild_clip
26,1,52,104,105,raw_post,20480,elongated,already_diagonal,1.9114512474966343,1.8004078988367955,4.483987110597863,4.731247854102003,5.192835188547671,6.9898103815187795,1.558838196701865,1.4773714244242346,1.3460489554789212,5.192835188547671,0.2570849701048189,0.001025390625,mild_clip,mild_clip_check_rotation
18,7,43,86,87,raw_post,20480,isotropic_scatter,axis_like,1.8467183254176927,1.634556995746049,5.112493533242969,5.503931565431068,6.462877528574671,8.698361835508463,1.7013932201476836,1.5803906229759248,1.345896127081153,6.462877528574671,0.2570006110585208,0.001025390625,mild_clip,mild_clip
3,3,54,108,109,raw_post,20480,isotropic_scatter,axis_like,1.5917574888574972,1.413144996729562,4.546829800588704,5.12339120757658,6.319430469000364,8.505200772895046,1.870578215132185,1.6600724848645902,1.345880900916129,6.319430469000364,0.25699220538807777,0.001025390625,mild_clip,mild_clip
14,4,48,96,97,raw_post,20480,isotropic_scatter,axis_like,2.4123454826473427,2.2128909074681244,6.155660815751747,6.67685805787862,7.6180903940120075,10.252466190780476,1.6655346188902085,1.5355225619455362,1.3458052688425892,7.6180903940120075,0.2569504495549987,0.001025390625,mild_clip,mild_clip
10,5,37,74,75,raw_post,20480,compact_cluster,already_diagonal,1.8047455289179406,1.7139642731166438,4.242860764979443,4.552212449422877,5.220512617576447,7.025737278869622,1.655896261517708,1.5433676167201589,1.3457945212535902,5.220512617576447,0.25694451552045783,0.001025390625,mild_clip,mild_clip
16,7,44,88,89,raw_post,20480,elongated,axis_like,1.3784827432321718,1.268282733513214,3.520812221356436,3.981410319844442,4.673708819329628,6.289315713299419,1.786325233464562,1.579670319824044,1.3456798350996813,4.673708819329628,0.25688118829102835,0.001025390625,mild_clip,mild_clip_check_rotation
14,2,60,120,121,raw_post,20480,elongated,already_diagonal,2.089991591226642,2.0534107161058834,4.29650462244825,4.516018073332357,5.05153304745946,6.797081326644412,1.5820025634631518,1.5051049876841758,1.3455482252190414,5.05153304745946,0.25680850284112977,0.001025390625,mild_clip,mild_clip_check_rotation
0,3,56,112,113,raw_post,20480,isotropic_scatter,already_diagonal,1.061609957986104,1.0084784717928201,2.3986595128057995,2.398659745438083,2.644771180543946,3.5583930233081924,1.483492344082554,1.48349220020712,1.3454445698309307,2.644771180543946,0.25675124607648425,0.001025390625,mild_clip,mild_clip
17,2,42,84,85,raw_post,20480,isotropic_scatter,axis_like,1.2866994879073446,1.1961270061598686,3.2597954105219737,3.5081270457858515,4.146987624561933,5.579341732550358,1.7115619325499225,1.5904046973591104,1.3453962822326317,4.146987624561933,0.2567245701463218,0.001025390625,mild_clip,mild_clip
21,2,39,78,79,raw_post,20480,isotropic_scatter,axis_like,1.3307238024727124,1.231286190628294,3.2765986689076727,3.489650961823085,4.08245167093613,5.491703706895725,1.6760379472187563,1.573711459104413,1.3451974816976697,4.08245167093613,0.25661472489676584,0.001025390625,mild_clip,mild_clip
10,4,40,80,81,raw_post,20480,elongated,axis_like,2.271516061226486,2.0875099716665284,5.780550889960542,6.242819645160016,7.144094650620752,9.609903058242693,1.662454537842204,1.5393529854243246,1.3451533788690337,7.144094650620752,0.2565903519189974,0.001025390625,mild_clip,mild_clip_check_rotation
9,7,50,100,101,raw_post,20480,elongated,already_diagonal,2.561967256210538,2.403184424365409,6.305166086930816,6.787717425082719,7.469345336991347,10.045443751058624,1.5932084282253178,1.4799443055684076,1.3448894511958567,7.469345336991347,0.2564444615794895,0.001025390625,mild_clip,mild_clip_check_rotation
3,1,61,122,123,raw_post,20480,isotropic_scatter,intermediate,1.3092515522314916,1.2076276066302016,3.33195253953597,3.5906590608904603,4.054283600335737,5.452516961136902,1.6364329612858939,1.5185281778840658,1.3448780348482223,4.054283600335737,0.25643814971455303,0.001025390625,mild_clip,mild_clip
28,0,62,124,125,raw_post,20480,elongated,axis_like,2.0969315825848613,1.9334523973378017,5.280872180284712,5.733665328446534,7.4990756285174305,10.08472955902579,1.9096712086074548,1.7588626090525803,1.3447963533899636,7.4990756285174305,0.2563929865817979,0.001025390625,mild_clip,mild_clip_check_rotation
13,3,47,94,95,raw_post,20480,elongated,axis_like,2.311079515475627,2.1435238967772356,5.786262029020329,6.244715555446555,7.230317723954028,9.723283808437001,1.6804084847300371,1.557041905608733,1.3447934350414203,7.230317723954028,0.2563913728734113,0.001025390625,mild_clip,mild_clip_check_rotation
14,7,47,94,95,raw_post,20480,elongated,axis_like,2.570846958516892,2.3938212900193507,6.456246019574004,6.9384081934801145,7.925989391962074,10.658326680356913,1.650855101872368,1.5361342808242866,1.3447313834618255,7.925989391962074,0.25635705963399325,0.001025390625,mild_clip,mild_clip_check_rotation
11,2,33,66,67,raw_post,20480,isotropic_scatter,already_diagonal,1.2572626669792033,1.1667615779512666,3.211305015497152,3.4968743413090455,4.045515108574209,5.439409861498228,1.6938315841219262,1.5555062408853957,1.3445530953449534,4.045515108574209,0.2562584523719058,0.001025390625,mild_clip,mild_clip
28,5,36,72,73,raw_post,20480,isotropic_scatter,intermediate,1.4369953668019844,1.3481739079359742,3.5307233794842547,3.7900772512592393,4.3699687916946335,5.873835454423345,1.6636351316996567,1.5497930688541466,1.3441367054123803,4.3699687916946335,0.25602805430925224,0.001025390625,mild_clip,mild_clip
6,6,56,112,113,raw_post,20480,elongated,axis_like,4.0798706669330445,4.078851939429171,6.6541282648375955,6.936128838375701,7.515872798174199,10.102167845332444,1.5181805103931225,1.456456199233197,1.3441110722079441,7.515872798174199,0.2560138662072621,0.001025390625,mild_clip,mild_clip_check_rotation
28,5,44,88,89,raw_post,20480,isotropic_scatter,already_diagonal,1.8767739974237163,1.7609018157471699,4.560351839362414,4.909420265415202,5.576486943546265,7.494551007721989,1.6434150854399443,1.5265653789140736,1.3439556271884616,5.576486943546265,0.25592781504848683,0.001025390625,mild_clip,mild_clip
28,3,57,114,115,raw_post,20480,isotropic_scatter,intermediate,1.9930634158923375,1.8610185735091576,5.081820333008025,5.437826141892489,6.283390722566785,8.44352038766589,1.6615149364534916,1.552738202241852,1.3437840746304386,6.283390722566785,0.25583282397879625,0.001025390625,mild_clip,mild_clip
10,7,33,66,67,raw_post,20480,compact_cluster,intermediate,1.705570437860559,1.5907361142282777,4.248298521852032,4.629598930824121,5.307360068813111,7.131887472643046,1.6787632592104011,1.5404979090431683,1.3437730585778696,5.307360068813111,0.25582672340647206,0.001025390625,mild_clip,mild_clip
31,4,47,94,95,raw_post,20480,isotropic_scatter,already_diagonal,1.5940304219629395,1.4574662776790754,4.238214643141196,4.653447301793775,5.382168156490665,7.231885993446499,1.706351990725631,1.5540921653198496,1.343675222173271,5.382168156490665,0.2557725382607027,0.001025390625,mild_clip,mild_clip
25,5,32,64,65,raw_post,20480,isotropic_scatter,intermediate,0.8246403666232119,0.7726448163156345,2.048189895030997,2.210590070520065,2.527948613978846,3.396704863979827,1.658393526996881,1.5365602647354313,1.3436605654074625,2.527948613978846,0.25576442016309975,0.001025390625,mild_clip,mild_clip
24,4,40,80,81,raw_post,20480,isotropic_scatter,already_diagonal,1.4479929740422253,1.3061512151316268,4.018110423908587,4.457424780895281,5.3406667111774615,7.175625736029653,1.785820940443348,1.6098142063517709,1.3435823885081264,5.3406667111774615,0.25572111650676665,0.001025390625,mild_clip,mild_clip
23,0,49,98,99,raw_post,20480,isotropic_scatter,intermediate,1.2285613476986272,1.1457653351791297,3.047753920104473,3.303989143906977,4.155686068685599,5.583430631774505,1.8319821016203013,1.6899058648758396,1.3435641045764766,4.155686068685599,0.25571098796568115,0.001025390625,mild_clip,mild_clip
14,2,50,100,101,raw_post,20480,isotropic_scatter,already_diagonal,1.1802020228598182,1.1331240996284055,2.720202997517077,2.930970841452802,3.433265997992712,4.612768705100434,1.6957442916248664,1.5738023182837297,1.3435512156055862,3.433265997992712,0.25570384784381694,0.001025390625,mild_clip,mild_clip
6,0,59,118,119,raw_post,20480,isotropic_scatter,already_diagonal,1.5493463362917275,1.4512851326166492,3.784539786324116,4.031797229523044,4.730902947485166,6.355817156957289,1.67941612872582,1.5764228196836112,1.3434680921399769,4.730902947485166,0.2556577965263581,0.001025390625,mild_clip,mild_clip
20,1,46,92,93,raw_post,20480,isotropic_scatter,intermediate,1.7382186348124065,1.6289746063025536,4.211104528992031,4.574815824452795,5.659929514460067,7.603871141247107,1.8056714310692181,1.6621152485754167,1.3434568614009468,5.659929514460067,0.2556515741359887,0.001025390625,mild_clip,mild_clip
