layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
0,0,53,106,107,high,5.0,0.5,21,-20.0,-10.0,-15.0,-0.2617993877991494,0.013773194514214993,0.013773194514214993,-14.5,-0.2530727415391778,0.0008773882873356342,0.32887402176856995,0.5,0.012895806226879358,93.62974009820233,0.3279966334812343,99.73321447446128,0.3288740272038223,3,1,1,1,1
1,0,50,100,101,high,5.0,0.5,21,35.0,45.0,40.0,0.6981317007977318,0.015456674620509148,0.015456674620509148,38.5,0.6719517620178169,0.00011341764184180647,0.3265529274940491,-1.5,0.015343256978667341,99.2662222332654,0.32643950985220727,99.96526822077139,0.3265529137818941,2,1,1,1,0
11,2,61,122,123,high,5.0,0.5,21,-30.0,-20.0,-25.0,-0.4363323129985824,0.0037836614064872265,0.0037836614064872265,-25.5,-0.44505895925855404,0.0008117212564684451,0.32266438007354736,-0.5,0.0029719401500187814,78.54667293757525,0.3218526588170789,99.74843171214516,0.3226643829468235,2,1,1,1,0
1,5,51,102,103,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.04318564757704735,0.04318564757704735,36.5,0.6370451769779303,0.003686530515551567,0.3254952132701874,1.5,0.03949911706149578,91.46352845821185,0.3218086827546358,98.86740868521116,0.32549522527835584,3,1,1,1,1
5,4,44,88,89,high,5.0,0.5,21,-25.0,-15.0,-20.0,-0.3490658503988659,0.00848598126322031,0.00848598126322031,-19.5,-0.34033920413889424,0.0011450450401753187,0.3209384083747864,0.5,0.0073409362230449915,86.50662775867607,0.31979336333461106,99.64321969253423,0.32093839539028907,2,1,1,1,0
0,0,54,108,109,high,5.0,0.5,21,-30.0,-20.0,-25.0,-0.4363323129985824,0.05241825431585312,0.05241825431585312,-22.5,-0.39269908169872414,0.003246862906962633,0.318427711725235,2.5,0.049171391408890486,93.80585456471283,0.31518084881827235,98.98034536963785,0.31842772130106395,2,1,0,1,1
1,7,47,94,95,high,5.0,0.5,21,15.0,25.0,20.0,0.3490658503988659,0.032719019800424576,0.032719019800424576,18.5,0.32288591161895097,0.0017799187917262316,0.3169403374195099,-1.5,0.030939101008698344,94.55998742449144,0.31516041862778366,99.4384057244912,0.3169403376181372,2,1,1,1,0
9,1,39,78,79,high,5.0,0.5,21,10.0,20.0,15.0,0.2617993877991494,0.01261117123067379,0.01261117123067379,14.5,0.2530727415391778,0.0012706246925517917,0.3149201571941376,-0.5,0.011340546538121998,89.9246099405796,0.3136495325015858,99.5965248131867,0.31492015658415373,2,1,1,1,0
0,1,62,124,125,high,5.0,0.5,21,15.0,25.0,20.0,0.3490658503988659,0.038356564939022064,0.038356564939022064,18.0,0.3141592653589793,0.005231397692114115,0.3174561858177185,-2.0,0.03312516724690795,86.36114130545629,0.3122247881256044,98.35208827994992,0.3174561785294682,2,1,0,1,1
1,5,48,96,97,high,5.0,0.5,21,-20.0,-10.0,-15.0,-0.2617993877991494,0.040545832365751266,0.040545832365751266,-13.5,-0.23561944901923448,0.0007608560263179243,0.3060990571975708,1.5,0.03978497633943334,98.12346674880298,0.3053382011712529,99.75143470441111,0.3060990491588035,3,1,1,1,1
