layer,head,pair,dim0,dim1,bucket_size,n_buckets,current_global_gap,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_min_deg,bucket_best_alpha_max_deg,bucket_best_alpha_range_deg,bucket_best_gap_mean,bucket_best_gap_median,bucket_consistent_flag
0,7,53,106,107,256,80,0.5542809367179871,20.0,0.056607916951179504,0.49767301976680756,89.7871434499684,21.25,11.25,-30.0,35.0,65.0,0.050826411694288254,0.04806789383292198,0
0,7,54,108,109,256,80,0.643932580947876,-30.0,0.07690197229385376,0.5670306086540222,88.05744971303469,-27.5,2.5,-30.0,-25.0,5.0,0.0607033297419548,0.0668603852391243,1
0,7,57,114,115,256,80,0.38810476660728455,-15.0,0.033757902681827545,0.354346863925457,91.30185826447565,-13.375,2.341874361038208,-15.0,-10.0,5.0,0.056459613144397736,0.058857157826423645,1
0,7,58,116,117,256,80,0.3735150694847107,35.0,0.0020013104658573866,0.3715137590188533,99.46419552265499,35.25,1.0897247791290283,35.0,40.0,5.0,0.022823672741651535,0.024440277367830276,1
0,7,63,126,127,256,80,0.4253600537776947,35.0,0.007428047247231007,0.4179320065304637,98.25370361385343,35.0,0.0,35.0,35.0,0.0,0.007772605866193771,0.007038397248834372,1
1,0,44,88,89,256,80,0.5360986590385437,-40.0,0.008936268277466297,0.5271623907610774,98.33309258905946,-35.8125,10.44161605834961,-45.0,40.0,85.0,0.038095422089099884,0.03761083632707596,0
1,0,45,90,91,256,80,0.2666339576244354,40.0,0.007543517742305994,0.25909043988212943,97.17083382420054,5.5625,16.085586547851562,-45.0,25.0,70.0,0.023110423237085342,0.01883465051651001,0
1,0,46,92,93,256,80,0.4592811167240143,-45.0,0.0036945496685802937,0.455586567055434,99.19557988908123,-26.0625,23.962127685546875,-45.0,40.0,85.0,0.02492479607462883,0.020904425531625748,0
1,0,47,94,95,256,80,0.35756778717041016,-25.0,0.03082241304218769,0.32674537412822247,91.3799804825544,-25.5,11.056672096252441,-35.0,35.0,70.0,0.024650290608406067,0.022425716742873192,0
1,0,48,96,97,256,80,0.4818839430809021,-40.0,0.03171833977103233,0.45016560330986977,93.41784671880896,-31.0625,6.740444660186768,-40.0,-15.0,25.0,0.03575160726904869,0.03618483245372772,0
1,0,50,100,101,256,80,0.3265529274940491,40.0,0.015456674620509148,0.3110962528735399,95.26671687217049,-34.125,9.642840385437012,-45.0,35.0,80.0,0.030307214707136154,0.02990875579416752,0
1,0,51,102,103,256,80,0.5173542499542236,-35.0,0.03925169259309769,0.47810255736112595,92.41299504226151,-30.4375,21.940170288085938,-45.0,40.0,85.0,0.03702855855226517,0.03592749685049057,0
1,0,59,118,119,256,80,0.41513118147850037,-25.0,0.03253517672419548,0.3825960047543049,92.16267575749896,-21.4375,2.5241024494171143,-25.0,-15.0,10.0,0.04079796373844147,0.04039333760738373,1
1,0,60,120,121,256,80,0.3174870014190674,-25.0,0.030533967539668083,0.2869530338793993,90.38260860974124,-26.125,5.914759159088135,-35.0,-5.0,30.0,0.03508594259619713,0.03633175417780876,0
1,0,63,126,127,256,80,0.26379528641700745,-15.0,0.0027214677538722754,0.26107381866313517,98.96834102275422,-20.25,11.696687698364258,-45.0,40.0,85.0,0.02198326401412487,0.01742568612098694,0
