layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
11,2,61,122,123,high,10.0,1.0,21,-35.0,-15.0,-25.0,-0.4363323129985824,0.0037836614064872265,0.0037836614064872265,-25.0,-0.4363323129985824,0.0037836614064872265,0.32266438007354736,0.0,0.0,0.0,0.31888071866706014,98.82736935337431,0.3226643829468235,2,1,1,1,0
1,5,51,102,103,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.04318564757704735,0.04318564757704735,37.0,0.6457718232379019,0.01002858579158783,0.3254952132701874,2.0,0.03315706178545952,76.77796593487254,0.31546662747859955,96.91897595333812,0.32549522527835584,3,1,1,1,1
0,0,53,106,107,high,10.0,1.0,21,-25.0,-5.0,-15.0,-0.2617993877991494,0.013773194514214993,0.013773194514214993,-15.0,-0.2617993877991494,0.013773194514214993,0.32887402176856995,0.0,0.0,0.0,0.31510082725435495,95.81201505666287,0.3288740272038223,3,1,1,1,1
5,4,44,88,89,high,10.0,1.0,21,-30.0,-10.0,-20.0,-0.3490658503988659,0.00848598126322031,0.00848598126322031,-20.0,-0.3490658503988659,0.00848598126322031,0.3209384083747864,0.0,0.0,0.0,0.31245242711156607,97.35588479228996,0.32093839539028907,2,1,1,1,0
0,1,62,124,125,high,10.0,1.0,21,10.0,30.0,20.0,0.3490658503988659,0.038356564939022064,0.038356564939022064,18.0,0.3141592653589793,0.005231397692114115,0.3174561858177185,-2.0,0.03312516724690795,86.36114130545629,0.3122247881256044,98.35208827994992,0.3174561785294682,2,1,0,1,1
0,0,54,108,109,high,10.0,1.0,21,-35.0,-15.0,-25.0,-0.4363323129985824,0.05241825431585312,0.05241825431585312,-23.0,-0.4014257279586958,0.008037976920604706,0.318427711725235,2.0,0.04438027739524841,84.66569132163232,0.3103897348046303,97.47572945926876,0.31842772130106395,2,1,0,1,1
1,7,47,94,95,high,10.0,1.0,21,10.0,30.0,20.0,0.3490658503988659,0.032719019800424576,0.032719019800424576,18.0,0.3141592653589793,0.008609293960034847,0.3169403374195099,-2.0,0.02410972584038973,73.68718863661334,0.30833104345947504,97.28362314808815,0.3169403376181372,2,1,1,1,0
9,1,39,78,79,high,10.0,1.0,21,5.0,25.0,15.0,0.2617993877991494,0.01261117123067379,0.01261117123067379,14.0,0.24434609527920614,0.01009872741997242,0.3149201571941376,-1.0,0.0025124438107013702,19.922366961368546,0.30482142977416515,96.79324197283856,0.31492015658415373,2,1,1,1,0
0,3,56,112,113,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.012012100778520107,0.012012100778520107,36.0,0.6283185307179586,0.0022331341169774532,0.30308815836906433,1.0,0.009778966661542654,81.40929585796752,0.3008550242520869,99.26320641195814,0.3030881482403527,2,1,1,1,0
0,4,54,108,109,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.013642958365380764,0.013642958365380764,36.0,0.6283185307179586,0.0030731819570064545,0.30365487933158875,1.0,0.01056977640837431,77.47422608277758,0.3005816973745823,98.98793592127642,0.3036548800697454,2,1,1,1,0
1,4,47,94,95,high,10.0,1.0,21,20.0,40.0,30.0,0.5235987755982988,0.033372703939676285,0.033372703939676285,33.0,0.5759586531581288,0.006040327250957489,0.30600351095199585,3.0,0.027332376688718796,81.90039601862695,0.29996318370103836,98.02605949449219,0.30600349954654615,2,1,1,1,0
0,5,60,120,121,high,10.0,1.0,21,-45.0,44.0,-40.0,-0.6981317007977318,0.015477641485631466,0.015477641485631466,-41.0,-0.7155849933176751,0.0010287524200975895,0.3007033169269562,-1.0,0.014448889065533876,93.3532998483482,0.2996745645068586,99.65788457852379,0.30070330639377374,2,1,1,1,0
