layer,head,pair,dim0,dim1,pre_absmax_dim0,pre_absmax_dim1,pre_residual_gap,post_absmax_dim0,post_absmax_dim1,post_residual_gap,residual_improvement
0,3,48,96,97,2.73046875,3.30859375,0.17473435655253838,2.8562183380126953,3.255504608154297,0.12264957915939682,0.05208477739314156
0,3,49,98,99,2.736328125,2.55859375,0.0649536045681656,2.6217660903930664,2.6894497871398926,0.025166373088825987,0.03978723147933961
0,3,50,100,101,2.798828125,3.201171875,0.12568639414276997,2.7008614540100098,3.326261281967163,0.1880188520810637,-0.06233245793829373
0,3,51,102,103,2.96484375,2.744140625,0.07444005270092227,2.892329692840576,2.816071033477783,0.026365825290096453,0.048074227410825815
0,3,52,104,105,3.236328125,3.6015625,0.10140997830802603,3.193603515625,3.638396978378296,0.1222498439275719,-0.020839865619545872
0,3,53,106,107,3.498046875,3.314453125,0.05248464544946957,3.5249669551849365,3.3020527362823486,0.06323866910998964,-0.01075402366052007
0,3,54,108,109,2.208984375,2.251953125,0.019080659150043366,2.209540843963623,2.2467241287231445,0.016550000191012968,0.0025306589590303984
0,3,55,110,111,3.4453125,1.56640625,0.5453514739229025,3.439469575881958,1.5877197980880737,0.5383823688334425,0.006969105089460026
0,3,56,112,113,2.360001564025879,3.3984375,0.3055627581716954,2.3600118160247803,3.386384963989258,0.3030881482403527,0.0024746099313427417
0,3,57,114,115,2.96875,2.125,0.28421052631578947,2.978864908218384,2.1164026260375977,0.28952715505874094,-0.005316628742951468
0,3,58,116,117,3.50390625,2.560546875,0.2692307692307692,3.489793300628662,2.567206859588623,0.26436707322288727,0.004863696007881946
0,3,59,118,119,3.439453125,3.259765625,0.05224304372515616,3.424622058868408,3.2602012157440186,0.04801138353314203,0.004231660192014132
0,3,60,120,121,3.291015625,1.7275390625,0.4750741839762611,3.300436019897461,1.713833212852478,0.48072521251124756,-0.005651028534986446
0,3,61,122,123,1.623046875,3.228515625,0.49727767695099817,1.6226447820663452,3.2285079956054688,0.4974010334572403,-0.0001233565062421227
0,3,62,124,125,3.376953125,1.8896484375,0.44042799305957203,3.376821279525757,1.8884644508361816,0.44075676664137853,-0.0003287735818064963
0,3,63,126,127,2.923828125,3.619140625,0.1921208850512682,2.920097589492798,3.620485782623291,0.1934514413761939,-0.001330556324925708
0,4,32,64,65,2.6796875,3.04296875,0.11938382541720154,3.829052209854126,3.82904052734375,3.0510188254710758e-06,0.11938077439837606
0,4,33,66,67,3.236328125,1.5830078125,0.5108630054315028,3.5103094577789307,3.5258381366729736,0.004404251781307247,0.5064587536501955
0,4,34,68,69,3.47265625,1.3818359375,0.6020809898762655,3.4988536834716797,3.500077247619629,0.0003495820410196243,0.6017314078352458
0,4,35,70,71,2.798828125,1.044921875,0.6266573621772505,2.755648374557495,2.769483804702759,0.00499567107840466,0.6216616910988458
0,4,36,72,73,2.5,1.060546875,0.57578125,2.497487783432007,2.352297782897949,0.0581344187135682,0.5176468312864319
0,4,37,74,75,4.7265625,1.44921875,0.6933884297520662,4.726153373718262,4.480113506317139,0.052059221939205334,0.6413292078128608
0,4,38,76,77,1.2001953125,3.200978994369507,0.625053674325532,2.501458168029785,3.200978994369507,0.21853340105329416,0.4065202732722379
0,4,39,78,79,3.509765625,7.8046875,0.5503003003003003,7.436456203460693,7.739804744720459,0.03919330671315556,0.5111069935871447
0,4,40,80,81,2.2421875,1.2841796875,0.42726480836236935,2.2846996784210205,1.2837291955947876,0.4381190632100994,-0.01085425484773006
0,4,41,82,83,3.078125,5.98828125,0.48597521200260924,5.272489547729492,5.984340667724609,0.11895230561227059,0.36702290639033863
0,4,42,84,85,1.4365234375,3.142578125,0.5428837787445618,1.4365081787109375,3.183490514755249,0.5487631667024526,-0.00587938795789078
0,4,43,86,87,3.30859375,2.521484375,0.23789846517119245,3.306349515914917,3.392854928970337,0.025496348905690632,0.21240211626550182
0,4,44,88,89,1.6689453125,0.80810546875,0.5157987126974839,1.6655187606811523,0.8812771439552307,0.47086927823328023,0.044929434464203666
0,4,45,90,91,2.36328125,1.244140625,0.4735537190082645,2.4854772090911865,1.2429494857788086,0.4999151546300871,-0.026361435621822638
